Attribution Method,Top-N,Confidence Drop,Baseline Conf,Pruned Conf,Mean IoU,Baseline IoU,IoU Drop,Cls Accuracy,Baseline Cls Acc,Cls Acc Drop,Det Recall,Baseline Recall,Recall Drop
Wisdom,6,29.143863959312437,47.122840309143065,17.978976349830628,0.6574552858566561,0.6839936443144735,0.02653835845781738,0.7201017811704835,0.7962662337662337,0.07616445259575022,0.5443213296398892,0.853185595567867,0.3088642659279778
Wisdom,8,40.548926874399186,47.122840309143065,6.573913434743881,0.5438872845317974,0.6839936443144735,0.14010635978267616,0.2676470588235294,0.7962662337662337,0.5286191749427043,0.23545706371191136,0.853185595567867,0.6177285318559557
Wisdom,10,34.49146802663803,47.122840309143065,12.631372282505035,0.3354965344737018,0.6839936443144735,0.3484971098407717,0.07125890736342043,0.7962662337662337,0.7250073264028133,0.2915512465373961,0.853185595567867,0.5616343490304709
Wisdom,15,30.521004066467285,47.122840309143065,16.60183624267578,0.3417675599425464,0.6839936443144735,0.34222608437192714,0.055900621118012424,0.7962662337662337,0.7403656126482213,0.3344875346260388,0.853185595567867,0.5186980609418281
Wisdom,20,33.20078098773956,47.122840309143065,13.922059321403504,0.33328019382315377,0.6839936443144735,0.35071345049131974,0.057736720554272515,0.7962662337662337,0.7385295132119613,0.29986149584487537,0.853185595567867,0.5533240997229916
GradXAct,6,37.3252373689413,47.122840309143065,9.79760294020176,0.6264135252852169,0.6839936443144735,0.05758011902925664,0.36058700209643607,0.7962662337662337,0.43567923166979766,0.3303324099722992,0.853185595567867,0.5228531855955678
GradXAct,8,45.8174762044847,47.122840309143065,1.3053641046583653,0.4072049108864304,0.6839936443144735,0.2767887334280431,0.026785714285714284,0.7962662337662337,0.7694805194805194,0.07756232686980609,0.853185595567867,0.7756232686980609
GradXAct,10,45.694063566327095,47.122840309143065,1.4287767428159714,0.41352556947466274,0.6839936443144735,0.2704680748398108,0.031746031746031744,0.7962662337662337,0.764520202020202,0.08725761772853186,0.853185595567867,0.7659279778393351
GradXAct,15,46.62591999351978,47.122840309143065,0.49692031562328337,0.3860314056636882,0.6839936443144735,0.2979622386507853,0.03076923076923077,0.7962662337662337,0.765497002997003,0.045013850415512466,0.853185595567867,0.8081717451523546
GradXAct,20,46.23227398529649,47.122840309143065,0.8905663238465786,0.376703091882729,0.6839936443144735,0.3072905524317445,0.1308411214953271,0.7962662337662337,0.6654251122709066,0.07409972299168975,0.853185595567867,0.7790858725761772
Random (GradXAct),6,0.47975563049316605,47.122840309143065,46.6430846786499,0.6800909212312759,0.6839936443144735,0.0039027230831976123,0.7954545454545454,0.7962662337662337,0.0008116883116883189,0.853185595567867,0.853185595567867,0.0
Random (GradXAct),8,1.1658932685852008,47.122840309143065,45.956947040557864,0.6838960019931539,0.6839936443144735,9.764232131959094e-05,0.7962202136400987,0.7962662337662337,4.602012613508233e-05,0.842797783933518,0.853185595567867,0.010387811634348987
Random (GradXAct),10,3.869630584716795,47.122840309143065,43.25320972442627,0.6767094416753643,0.6839936443144735,0.007284202639109227,0.790133779264214,0.7962662337662337,0.006132454502019713,0.8282548476454293,0.853185595567867,0.024930747922437657
Random (GradXAct),15,2.256051769256594,47.122840309143065,44.86678853988647,0.6791398270881334,0.6839936443144735,0.004853817226340151,0.8014705882352942,0.7962662337662337,-0.005204354469060424,0.8476454293628809,0.853185595567867,0.005540166204986097
Random (GradXAct),20,7.348167772293088,47.122840309143065,39.77467253684998,0.6735897197737952,0.6839936443144735,0.010403924540678289,0.7577054794520548,0.7962662337662337,0.038560754314178936,0.8088642659279779,0.853185595567867,0.04432132963988911
