Attribution Method,Layer Name,Neuron Index,Relevance Score
GradXAct,yolo_model.model.0.conv,0,0.0523483008146286
GradXAct,yolo_model.model.0.conv,1,-0.10511896014213562
GradXAct,yolo_model.model.0.conv,2,-0.25236690044403076
GradXAct,yolo_model.model.0.conv,3,-0.23450373113155365
GradXAct,yolo_model.model.0.conv,4,0.039419159293174744
GradXAct,yolo_model.model.0.conv,5,0.08920492976903915
GradXAct,yolo_model.model.0.conv,6,-0.08276726305484772
GradXAct,yolo_model.model.0.conv,7,0.49984586238861084
GradXAct,yolo_model.model.0.conv,8,-0.006609536707401276
GradXAct,yolo_model.model.0.conv,9,-0.0005591250956058502
GradXAct,yolo_model.model.0.conv,10,0.14259426295757294
GradXAct,yolo_model.model.0.conv,11,-0.08663173019886017
GradXAct,yolo_model.model.0.conv,12,-0.14826209843158722
GradXAct,yolo_model.model.0.conv,13,0.16865107417106628
GradXAct,yolo_model.model.0.conv,14,-0.2762017250061035
GradXAct,yolo_model.model.0.conv,15,0.09791299700737
GradXAct,yolo_model.model.1.conv,0,-0.10200175642967224
GradXAct,yolo_model.model.1.conv,1,0.012151390314102173
GradXAct,yolo_model.model.1.conv,2,-0.29005497694015503
GradXAct,yolo_model.model.1.conv,3,0.6673473119735718
GradXAct,yolo_model.model.1.conv,4,0.12315047532320023
GradXAct,yolo_model.model.1.conv,5,0.05384434759616852
GradXAct,yolo_model.model.1.conv,6,0.10945472866296768
GradXAct,yolo_model.model.1.conv,7,-0.13325558602809906
GradXAct,yolo_model.model.1.conv,8,0.026228446513414383
GradXAct,yolo_model.model.1.conv,9,-0.10363772511482239
GradXAct,yolo_model.model.1.conv,10,0.10852199047803879
GradXAct,yolo_model.model.1.conv,11,-0.11483185738325119
GradXAct,yolo_model.model.1.conv,12,-0.0917099192738533
GradXAct,yolo_model.model.1.conv,13,-0.03104950115084648
GradXAct,yolo_model.model.1.conv,14,-0.08800230920314789
GradXAct,yolo_model.model.1.conv,15,0.01898335851728916
GradXAct,yolo_model.model.1.conv,16,-0.11951161921024323
GradXAct,yolo_model.model.1.conv,17,0.7056528329849243
GradXAct,yolo_model.model.1.conv,18,-0.3843323588371277
GradXAct,yolo_model.model.1.conv,19,-0.07824517786502838
GradXAct,yolo_model.model.1.conv,20,0.14158931374549866
GradXAct,yolo_model.model.1.conv,21,0.08375383913516998
GradXAct,yolo_model.model.1.conv,22,-0.11262217164039612
GradXAct,yolo_model.model.1.conv,23,-0.034203872084617615
GradXAct,yolo_model.model.1.conv,24,0.09132973849773407
GradXAct,yolo_model.model.1.conv,25,-0.11602021753787994
GradXAct,yolo_model.model.1.conv,26,0.24958784878253937
GradXAct,yolo_model.model.1.conv,27,0.07962065935134888
GradXAct,yolo_model.model.1.conv,28,-0.4114611744880676
GradXAct,yolo_model.model.1.conv,29,0.32838204503059387
