iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,0.6975308641975309,0.7253086419753086,0.02777777777777779,0.15405158378571893,0.814814814814815,0.8500881834215167,0.035273368606701716,0.2848822958948862,0.8249158249158248,0.8501683501683502,0.025252525252525415,0.26308570228689,0.7932659932659932,0.8228956228956228,0.02962962962962956,0.24634969073482466
0,dataset,R,cluster,0.6975308641975309,0.7253086419753089,0.027777777777778012,0.20001650781090985,0.814814814814815,0.8483245149911816,0.033509700176366564,0.3174417442335458,0.8249158249158248,0.8552188552188551,0.030303030303030276,0.27045110550415347,0.7932659932659932,0.8242424242424241,0.03097643097643088,0.2716448887075999
0,dataset,I_obj,cluster,0.6975308641975309,0.7222222222222222,0.024691358024691357,0.08262426060702031,0.814814814814815,0.8395061728395061,0.024691358024691135,0.16555901468534764,0.8249158249158248,0.8535353535353536,0.028619528619528767,0.1698668704170805,0.7932659932659932,0.8195286195286193,0.0262626262626261,0.14854240761454796
0,dataset,R_obj,cluster,0.6975308641975309,0.7222222222222222,0.024691358024691357,0.1031695065618179,0.814814814814815,0.8447971781305115,0.02998236331569648,0.189580153422109,0.8249158249158248,0.8552188552188553,0.030303030303030498,0.17033883901705177,0.7932659932659932,0.822222222222222,0.028956228956228736,0.16214953252085618
0,dataset,I_bg,cluster,0.6975308641975309,0.7376543209876543,0.04012345679012341,0.08072005489090872,0.814814814814815,0.8430335097001764,0.02821869488536144,0.1595869734009792,0.8249158249158248,0.8434343434343433,0.01851851851851849,0.15310184987001302,0.7932659932659932,0.8202020202020202,0.026936026936026924,0.13907916147723492
0,dataset,R_bg,cluster,0.6975308641975309,0.7376543209876543,0.04012345679012341,0.10717828029500501,0.814814814814815,0.8412698412698413,0.026455026455026287,0.16617327235723398,0.8249158249158248,0.8434343434343433,0.01851851851851849,0.14762119997446782,0.7932659932659932,0.8195286195286193,0.0262626262626261,0.1452317351300639
1,dataset,I,cluster,0.6975308641975309,0.7191358024691358,0.021604938271604923,0.15397415445194285,0.814814814814815,0.8518518518518519,0.03703703703703687,0.2835776415435951,0.8249158249158248,0.8569023569023568,0.03198653198653201,0.265278888831918,0.7932659932659932,0.8249158249158247,0.031649831649831484,0.24675283360926492
1,dataset,R,cluster,0.6975308641975309,0.7253086419753089,0.027777777777778012,0.20019587282521467,0.814814814814815,0.8483245149911816,0.033509700176366564,0.31678214972646074,0.8249158249158248,0.8636363636363638,0.03872053872053893,0.2702296371349635,0.7932659932659932,0.8276094276094272,0.03434343434343401,0.2713543554692772
1,dataset,I_obj,cluster,0.6975308641975309,0.7222222222222222,0.024691358024691357,0.08271497725709599,0.814814814814815,0.8377425044091711,0.022927689594356093,0.16635448819299328,0.8249158249158248,0.8501683501683501,0.025252525252525304,0.17042089451906775,0.7932659932659932,0.8175084175084174,0.024242424242424176,0.14907960779992746
1,dataset,R_obj,cluster,0.6975308641975309,0.7253086419753086,0.02777777777777779,0.10293401559836639,0.814814814814815,0.8412698412698413,0.026455026455026287,0.18836072204748955,0.8249158249158248,0.8535353535353536,0.028619528619528767,0.17102947869323765,0.7932659932659932,0.8208754208754206,0.027609427609427417,0.1619337267632455
1,dataset,I_bg,cluster,0.6975308641975309,0.7345679012345679,0.03703703703703709,0.08049888471146308,0.814814814814815,0.8483245149911818,0.033509700176366786,0.1593306128787111,0.8249158249158248,0.8400673400673401,0.015151515151515249,0.1556980405209425,0.7932659932659932,0.8202020202020202,0.026936026936026924,0.13999690585181873
1,dataset,R_bg,cluster,0.6975308641975309,0.7345679012345679,0.03703703703703709,0.10713253170887482,0.814814814814815,0.8430335097001764,0.02821869488536144,0.1678862503202279,0.8249158249158248,0.8518518518518519,0.026936026936027035,0.14966427066882787,0.7932659932659932,0.8228956228956228,0.02962962962962956,0.14668145442494668
2,dataset,I,cluster,0.6975308641975309,0.7222222222222222,0.024691358024691357,0.15422363580178675,0.814814814814815,0.8465608465608464,0.03174603174603141,0.2845022755299278,0.8249158249158248,0.861952861952862,0.0370370370370372,0.2665447402557788,0.7932659932659932,0.8255892255892254,0.0323232323232322,0.24766409425299218
2,dataset,R,cluster,0.6975308641975309,0.7283950617283952,0.030864197530864335,0.20043646219364342,0.814814814814815,0.8500881834215167,0.035273368606701716,0.31763442047534446,0.8249158249158248,0.8569023569023568,0.03198653198653201,0.2694397920427414,0.7932659932659932,0.8262626262626261,0.03299663299663291,0.2713968271026373
2,dataset,I_obj,cluster,0.6975308641975309,0.7222222222222222,0.024691358024691357,0.08228471403487168,0.814814814814815,0.8377425044091711,0.022927689594356093,0.16589147715732971,0.8249158249158248,0.8484848484848484,0.023569023569023573,0.16965089354497523,0.7932659932659932,0.8168350168350167,0.023569023569023462,0.14849851233209996
