iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,1.0,1.0,0.0,0.07805620557461711,1.0,1.0,0.0,0.06466266900475602,1.0,1.0,0.0,0.2906049540064608,1.0,1.0,0.0,0.14444127619527797
0,dataset,R,cluster,1.0,1.0,0.0,0.09930990385315575,1.0,1.0,0.0,0.04937767505606947,1.0,1.0,0.0,0.24460209933299729,1.0,1.0,0.0,0.13109655941407417
0,dataset,I_obj,cluster,1.0,1.0,0.0,0.04291109591427903,1.0,1.0,0.0,0.030880280857762652,1.0,1.0,0.0,0.17943262110354044,1.0,1.0,0.0,0.0844079992918607
0,dataset,R_obj,cluster,1.0,1.0,0.0,0.053388894525763606,1.0,1.0,0.0,0.028959200274417528,1.0,1.0,0.0,0.15647077440957463,1.0,1.0,0.0,0.07960628973658523
0,dataset,I_bg,cluster,1.0,1.0,0.0,0.03692185047270955,1.0,1.0,0.0,0.050072567542944556,1.0,1.0,0.0,0.1849959009722353,1.0,1.0,0.0,0.09066343966262981
0,dataset,R_bg,cluster,1.0,1.0,0.0,0.04858247222444591,1.0,1.0,0.0,0.030554374335730244,1.0,1.0,0.0,0.15406298595424292,1.0,1.0,0.0,0.07773327750480635
1,dataset,I,cluster,1.0,1.0,0.0,0.07751915330331152,1.0,1.0,0.0,0.06470502870169002,1.0,1.0,0.0,0.29254898509769317,1.0,1.0,0.0,0.14492438903423158
1,dataset,R,cluster,1.0,1.0,0.0,0.09867774651370564,1.0,1.0,0.0,0.049096476131710615,1.0,1.0,0.0,0.24004475615480136,1.0,1.0,0.0,0.12927299293340588
1,dataset,I_obj,cluster,1.0,1.0,0.0,0.04272950349682955,1.0,1.0,0.0,0.030921238237033168,1.0,1.0,0.0,0.1762440269793927,1.0,1.0,0.0,0.08329825623775182
1,dataset,R_obj,cluster,1.0,1.0,0.0,0.05281637622354033,1.0,1.0,0.0,0.02901273358476116,1.0,1.0,0.0,0.15956059618654156,1.0,1.0,0.0,0.08046323533161436
1,dataset,I_bg,cluster,1.0,1.0,0.0,0.03681056106188048,1.0,1.0,0.0,0.05013463709276539,1.0,1.0,0.0,0.1865095613883885,1.0,1.0,0.0,0.09115158651434478
1,dataset,R_bg,cluster,1.0,1.0,0.0,0.0484862415700577,1.0,1.0,0.0,0.030570670291043673,1.0,1.0,0.0,0.1565281497251543,1.0,1.0,0.0,0.07852835386208523
2,dataset,I,cluster,1.0,1.0,0.0,0.0773097853384861,1.0,1.0,0.0,0.0649679609204953,1.0,1.0,0.0,0.29086194071678134,1.0,1.0,0.0,0.1443798956585876
2,dataset,R,cluster,1.0,1.0,0.0,0.09973085683806009,1.0,1.0,0.0,0.049296250551449095,1.0,1.0,0.0,0.2439177264481162,1.0,1.0,0.0,0.13098161127920846
2,dataset,I_obj,cluster,1.0,1.0,0.0,0.043083287030798306,1.0,1.0,0.0,0.030788447036988752,1.0,1.0,0.0,0.17706829243321168,1.0,1.0,0.0,0.08364667550033289
2,dataset,R_obj,cluster,1.0,1.0,0.0,0.0525970890000464,1.0,1.0,0.0,0.02900164202943173,1.0,1.0,0.0,0.15789349856317858,1.0,1.0,0.0,0.07983074319755223
2,dataset,I_bg,cluster,1.0,1.0,0.0,0.0370251830142238,1.0,1.0,0.0,0.0502331034980607,1.0,1.0,0.0,0.18713545079324892,1.0,1.0,0.0,0.09146457910184447
2,dataset,R_bg,cluster,1.0,1.0,0.0,0.04877210340826662,1.0,1.0,0.0,0.030693305831512894,1.0,1.0,0.0,0.15454283606813532,1.0,1.0,0.0,0.07800274843597163
