attack,sample_size,error_rate,coverage_mode,clean_early,mixed_early,delta_early,norm_delta_early,clean_middle,mixed_middle,delta_middle,norm_delta_middle,clean_late,mixed_late,delta_late,norm_delta_late,clean_overall,mixed_overall,delta_overall,norm_delta_overall,clean_variability,mixed_variability,delta_variability,norm_delta_variability
FGSM_0.1,50,0.05,cluster,0.5616666666666666,0.5713194444444444,0.009652777777777732,0.01718595450049448,0.6559825102880659,0.6623611111111112,0.006378600823045311,0.009723736110348788,0.6331060606060606,0.6334090909090908,0.00030303030303024947,0.000478640660524027,0.6291780510018213,0.63400956284153,0.0048315118397086465,0.007679085168364623,0.04016963656309115,0.03797942241285616,0.002190214150234994,0.054524121640856876
FGSM_0.1,50,0.1,cluster,0.5616666666666666,0.56,0.0016666666666665941,0.0029673590504449747,0.6559825102880659,0.6657253086419753,0.009742798353909454,0.014852222736290692,0.6331060606060606,0.6341351010101011,0.0010290404040405043,0.0016253839096966205,0.6291780510018213,0.6335336976320581,0.004355646630236798,0.006922756798813043,0.04016963656309115,0.04431176832330428,0.004142131760213129,0.10311598796039448
FGSM_0.1,50,0.2,cluster,0.5616666666666666,0.5494444444444443,0.012222222222222356,0.021760633036597667,0.6559825102880659,0.658559670781893,0.0025771604938271686,0.003928703057487681,0.6331060606060606,0.6267487373737374,0.0063573232323231865,0.010041482190578684,0.6291780510018213,0.6256215846994536,0.0035564663023677223,0.005652559393489439,0.04016963656309115,0.0458185088853217,0.005648872322230547,0.1406254276998082
FGSM_0.1,100,0.05,cluster,0.6600694444444445,0.6622916666666666,0.0022222222222221255,0.003366649132035624,0.742119341563786,0.7422736625514403,0.00015432098765433278,0.00020794632212273195,0.7239962121212121,0.7274810606060608,0.003484848484848646,0.004813351819394892,0.7194421675774134,0.7212044626593805,0.0017622950819671246,0.002449529873820606,0.03519353643890095,0.034746059441182885,0.00044747699771806315,0.012714749439713803
FGSM_0.1,100,0.1,cluster,0.6600694444444445,0.655625,0.004444444444444473,0.0067332982640715845,0.742119341563786,0.7582458847736625,0.016126543209876498,0.021730390661823768,0.7239962121212121,0.7163825757575757,0.0076136363636364335,0.010516127344547144,0.7194421675774134,0.7229599271402548,0.003517759562841394,0.004889565445804754,0.03519353643890095,0.04213083542891285,0.0069372989900119,0.19711855334730732
FGSM_0.1,100,0.2,cluster,0.6600694444444445,0.6559027777777777,0.004166666666666763,0.0063124671225672155,0.742119341563786,0.7432561728395061,0.0011368312757200627,0.0015318712396372044,0.7239962121212121,0.7260290404040404,0.0020328282828282473,0.0028077885613135077,0.7194421675774134,0.7198588342440803,0.0004166666666668428,0.0005791524120276264,0.03519353643890095,0.03777871598119035,0.002585179542289401,0.07345608892637141
FGSM_0.1,200,0.05,cluster,0.7401388888888888,0.7409722222222221,0.0008333333333333526,0.0011259148057797222,0.81679012345679,0.8190586419753086,0.002268518518518614,0.002777357920193588,0.7873926767676768,0.7881881313131314,0.0007954545454545991,0.0010102386889347475,0.7911088342440801,0.7925637522768669,0.001454918032786856,0.0018390870760241966,0.03157450114238838,0.03211060650259388,0.0005361053602055063,0.016979060343277806
FGSM_0.1,200,0.1,cluster,0.7401388888888888,0.7395833333333334,0.0005555555555554204,0.0007506098705196148,0.81679012345679,0.8089866255144033,0.007803497942386772,0.009553859330914882,0.7873926767676768,0.7853472222222223,0.0020454545454544615,0.0025977566286890684,0.7911088342440801,0.7868078324225865,0.004301001821493622,0.005436675252910445,0.03157450114238838,0.028809666355844882,0.0027648347865434943,0.08756543053760991
FGSM_0.1,200,0.2,cluster,0.7401388888888888,0.7329166666666667,0.00722222222222213,0.009757928316757243,0.81679012345679,0.8126286008230452,0.0041615226337448075,0.005094971785570276,0.7873926767676768,0.7733775252525252,0.014015151515151536,0.017799443566944375,0.7911088342440801,0.7827914389799635,0.008317395264116567,0.010513591688132266,0.03157450114238838,0.0325435101191865,0.0009690089767981219,0.030689605274467485
PGD_0.1,50,0.05,cluster,0.5616666666666666,0.5677083333333334,0.006041666666666723,0.010756676557863602,0.6559825102880659,0.6562345679012346,0.0002520576131687102,0.0003842444108121458,0.6331060606060606,0.6387121212121213,0.005606060606060725,0.008854852219696252,0.6291780510018213,0.6325,0.0033219489981786143,0.005279823402754077,0.04016963656309115,0.03827599804617886,0.0018936385169122938,0.04714104181495671
