LayerName,NeuronIndex,Score
conv1,0,5844
conv1,1,11084
conv1,2,13532
conv1,3,13972
conv1,4,2362
conv1,5,4147
conv2,0,780
conv2,1,5511
conv2,2,6836
conv2,3,0
conv2,4,742
conv2,5,974
conv2,6,2223
conv2,7,3847
conv2,8,3655
conv2,9,595
conv2,10,1728
conv2,11,253
conv2,12,0
conv2,13,222
conv2,14,2654
conv2,15,2203
fc1,0,0
fc1,1,0
fc1,2,89
fc1,3,0
fc1,4,0
fc1,5,0
fc1,6,0
fc1,7,0
fc1,8,4
fc1,9,0
fc1,10,5
fc1,11,0
fc1,12,0
fc1,13,1
fc1,14,0
fc1,15,3
fc1,16,0
fc1,17,4
fc1,18,0
fc1,19,0
fc1,20,0
fc1,21,0
fc1,22,4
fc1,23,0
fc1,24,0
fc1,25,0
fc1,26,8
fc1,27,0
fc1,28,0
fc1,29,1
fc1,30,0
fc1,31,0
fc1,32,0
fc1,33,0
fc1,34,0
fc1,35,0
fc1,36,0
fc1,37,0
fc1,38,0
fc1,39,52
fc1,40,0
fc1,41,0
fc1,42,0
fc1,43,0
fc1,44,0
fc1,45,0
fc1,46,0
fc1,47,0
fc1,48,0
fc1,49,0
fc1,50,0
fc1,51,0
fc1,52,0
fc1,53,8
fc1,54,0
fc1,55,0
fc1,56,0
fc1,57,0
fc1,58,0
fc1,59,0
fc1,60,9
fc1,61,0
fc1,62,0
fc1,63,170
fc1,64,0
fc1,65,0
fc1,66,0
fc1,67,0
fc1,68,0
fc1,69,0
fc1,70,0
fc1,71,177
fc1,72,0
fc1,73,834
fc1,74,0
fc1,75,0
fc1,76,5
fc1,77,0
fc1,78,2
fc1,79,0
fc1,80,0
fc1,81,0
fc1,82,0
fc1,83,0
fc1,84,2
fc1,85,0
fc1,86,0
fc1,87,0
fc1,88,0
fc1,89,0
fc1,90,0
fc1,91,105
fc1,92,0
fc1,93,0
fc1,94,5
fc1,95,0
fc1,96,3
fc1,97,8
fc1,98,0
fc1,99,0
fc1,100,0
fc1,101,0
fc1,102,0
fc1,103,613
fc1,104,20
fc1,105,220
fc1,106,0
fc1,107,0
fc1,108,0
fc1,109,0
fc1,110,0
fc1,111,7
fc1,112,0
fc1,113,0
fc1,114,0
fc1,115,0
fc1,116,0
fc1,117,0
fc1,118,0
fc1,119,0
fc2,0,29
fc2,1,0
fc2,2,0
fc2,3,3
fc2,4,3
fc2,5,0
fc2,6,0
fc2,7,0
fc2,8,0
fc2,9,3
fc2,10,0
fc2,11,0
fc2,12,0
fc2,13,0
fc2,14,0
fc2,15,0
fc2,16,3
fc2,17,0
fc2,18,0
fc2,19,0
fc2,20,0
fc2,21,25
fc2,22,0
fc2,23,0
fc2,24,0
fc2,25,6
fc2,26,25
fc2,27,7
fc2,28,0
fc2,29,0
fc2,30,0
fc2,31,0
fc2,32,0
fc2,33,0
fc2,34,0
fc2,35,0
fc2,36,0
fc2,37,0
fc2,38,0
fc2,39,0
fc2,40,0
fc2,41,0
fc2,42,0
fc2,43,0
fc2,44,0
fc2,45,1
fc2,46,0
fc2,47,0
fc2,48,0
fc2,49,12
fc2,50,3
fc2,51,0
fc2,52,19
fc2,53,2
fc2,54,0
fc2,55,0
fc2,56,1
fc2,57,0
fc2,58,0
fc2,59,0
fc2,60,4
fc2,61,1
fc2,62,0
fc2,63,0
fc2,64,107
fc2,65,0
fc2,66,0
fc2,67,0
fc2,68,0
fc2,69,0
fc2,70,0
fc2,71,0
fc2,72,18
fc2,73,51
fc2,74,0
fc2,75,0
fc2,76,0
fc2,77,60
fc2,78,3
fc2,79,0
fc2,80,0
fc2,81,0
fc2,82,0
fc2,83,56
