LayerName,NeuronIndex,Score
conv1,0,76824
conv1,1,136460
conv1,2,81311
conv1,3,145744
conv1,4,69323
conv1,5,83386
conv2,0,61531
conv2,1,32126
conv2,2,47097
conv2,3,14602
conv2,4,26883
conv2,5,47537
conv2,6,30690
conv2,7,32585
conv2,8,58884
conv2,9,24805
conv2,10,23633
conv2,11,13271
conv2,12,0
conv2,13,32651
conv2,14,28119
conv2,15,31333
fc1,0,2163
fc1,1,1
fc1,2,7298
fc1,3,606
fc1,4,0
fc1,5,4411
fc1,6,156
fc1,7,455
fc1,8,2994
fc1,9,1470
fc1,10,4355
fc1,11,1153
fc1,12,2121
fc1,13,2659
fc1,14,0
fc1,15,1427
fc1,16,1210
fc1,17,1658
fc1,18,424
fc1,19,10
fc1,20,0
fc1,21,755
fc1,22,2059
fc1,23,944
fc1,24,10
fc1,25,352
fc1,26,7514
fc1,27,223
fc1,28,684
fc1,29,2452
fc1,30,91
fc1,31,4365
fc1,32,262
fc1,33,517
fc1,34,2073
fc1,35,181
fc1,36,354
fc1,37,3048
fc1,38,494
fc1,39,9909
fc1,40,1325
fc1,41,475
fc1,42,34
fc1,43,770
fc1,44,16
fc1,45,84
fc1,46,63
fc1,47,2687
fc1,48,1753
fc1,49,2608
fc1,50,277
fc1,51,221
fc1,52,0
fc1,53,740
fc1,54,849
fc1,55,43
fc1,56,348
fc1,57,0
fc1,58,0
fc1,59,245
fc1,60,1255
fc1,61,105
fc1,62,1435
fc1,63,4689
fc1,64,1985
fc1,65,1884
fc1,66,873
fc1,67,182
fc1,68,566
fc1,69,22
fc1,70,328
fc1,71,10509
fc1,72,604
fc1,73,11172
fc1,74,976
fc1,75,456
fc1,76,5519
fc1,77,63
fc1,78,763
fc1,79,23
fc1,80,1133
fc1,81,347
fc1,82,598
fc1,83,451
fc1,84,6668
fc1,85,2477
fc1,86,901
fc1,87,881
fc1,88,2309
fc1,89,291
fc1,90,6116
fc1,91,8086
fc1,92,1297
fc1,93,396
fc1,94,1097
fc1,95,57
fc1,96,1829
fc1,97,3234
fc1,98,0
fc1,99,1083
fc1,100,650
fc1,101,25
fc1,102,156
fc1,103,6997
fc1,104,9835
fc1,105,6575
fc1,106,2896
fc1,107,183
fc1,108,2528
fc1,109,78
fc1,110,771
fc1,111,5016
fc1,112,599
fc1,113,591
fc1,114,723
fc1,115,129
fc1,116,2950
fc1,117,253
fc1,118,1250
fc1,119,837
fc2,0,2996
fc2,1,0
fc2,2,0
fc2,3,7684
fc2,4,3435
fc2,5,19
fc2,6,5
fc2,7,1159
fc2,8,2
fc2,9,61
fc2,10,6
fc2,11,31
fc2,12,0
fc2,13,0
fc2,14,207
fc2,15,0
fc2,16,4496
fc2,17,44
fc2,18,105
fc2,19,0
fc2,20,1
fc2,21,263
fc2,22,83
fc2,23,0
fc2,24,10
fc2,25,1854
fc2,26,3304
fc2,27,17
fc2,28,0
fc2,29,701
fc2,30,68
fc2,31,125
fc2,32,1
fc2,33,9
fc2,34,13
fc2,35,57
fc2,36,201
fc2,37,0
fc2,38,81
fc2,39,23
fc2,40,0
fc2,41,4210
fc2,42,16
fc2,43,0
fc2,44,454
fc2,45,1213
fc2,46,315
fc2,47,34
fc2,48,0
fc2,49,906
fc2,50,122
fc2,51,1
fc2,52,2189
fc2,53,423
fc2,54,433
fc2,55,0
fc2,56,2987
fc2,57,637
fc2,58,18
fc2,59,950
fc2,60,1941
fc2,61,37
fc2,62,108
fc2,63,5
fc2,64,2528
fc2,65,0
fc2,66,0
fc2,67,0
fc2,68,4272
fc2,69,0
fc2,70,0
fc2,71,1103
fc2,72,537
fc2,73,1985
fc2,74,2110
fc2,75,537
fc2,76,0
fc2,77,2662
fc2,78,1192
fc2,79,0
fc2,80,3
fc2,81,0
fc2,82,250
fc2,83,4918
