LayerName,NeuronIndex,Score
conv1,0,15806
conv1,1,8799
conv1,2,12322
conv1,3,17790
conv1,4,501
conv1,5,14153
conv2,0,0
conv2,1,12785
conv2,2,386
conv2,3,22
conv2,4,2248
conv2,5,0
conv2,6,0
conv2,7,4573
conv2,8,1966
conv2,9,148
conv2,10,0
conv2,11,0
conv2,12,37
conv2,13,7
conv2,14,0
conv2,15,0
fc1,0,0
fc1,1,0
fc1,2,0
fc1,3,0
fc1,4,0
fc1,5,0
fc1,6,0
fc1,7,0
fc1,8,0
fc1,9,0
fc1,10,0
fc1,11,0
fc1,12,0
fc1,13,0
fc1,14,0
fc1,15,0
fc1,16,77
fc1,17,0
fc1,18,0
fc1,19,53
fc1,20,0
fc1,21,0
fc1,22,0
fc1,23,0
fc1,24,0
fc1,25,0
fc1,26,0
fc1,27,0
fc1,28,0
fc1,29,0
fc1,30,0
fc1,31,0
fc1,32,0
fc1,33,0
fc1,34,0
fc1,35,0
fc1,36,0
fc1,37,0
fc1,38,0
fc1,39,0
fc1,40,0
fc1,41,0
fc1,42,0
fc1,43,0
fc1,44,0
fc1,45,18
fc1,46,0
fc1,47,5
fc1,48,0
fc1,49,0
fc1,50,0
fc1,51,0
fc1,52,0
fc1,53,0
fc1,54,0
fc1,55,0
fc1,56,0
fc1,57,0
fc1,58,0
fc1,59,0
fc1,60,0
fc1,61,0
fc1,62,0
fc1,63,0
fc1,64,0
fc1,65,0
fc1,66,0
fc1,67,0
fc1,68,0
fc1,69,0
fc1,70,0
fc1,71,0
fc1,72,0
fc1,73,0
fc1,74,0
fc1,75,0
fc1,76,0
fc1,77,0
fc1,78,0
fc1,79,0
fc1,80,0
fc1,81,0
fc1,82,0
fc1,83,0
fc1,84,0
fc1,85,0
fc1,86,0
fc1,87,0
fc1,88,0
fc1,89,0
fc1,90,50
fc1,91,0
fc1,92,0
fc1,93,0
fc1,94,0
fc1,95,9
fc1,96,0
fc1,97,0
fc1,98,0
fc1,99,0
fc1,100,0
fc1,101,0
fc1,102,0
fc1,103,0
fc1,104,0
fc1,105,0
fc1,106,0
fc1,107,0
fc1,108,0
fc1,109,7
fc1,110,0
fc1,111,0
fc1,112,0
fc1,113,0
fc1,114,3
fc1,115,0
fc1,116,0
fc1,117,0
fc1,118,0
fc1,119,0
fc2,0,201
fc2,1,1607
fc2,2,3
fc2,3,0
fc2,4,3
fc2,5,1499
fc2,6,0
fc2,7,0
fc2,8,178
fc2,9,19
fc2,10,1
fc2,11,27
fc2,12,3
fc2,13,0
fc2,14,170
fc2,15,67
fc2,16,0
fc2,17,149
fc2,18,179
fc2,19,0
fc2,20,0
fc2,21,1568
fc2,22,100
fc2,23,4
fc2,24,0
fc2,25,28
fc2,26,0
fc2,27,0
fc2,28,0
fc2,29,94
fc2,30,19
fc2,31,258
fc2,32,23
fc2,33,26
fc2,34,0
fc2,35,22
fc2,36,1699
fc2,37,3
fc2,38,96
fc2,39,4
fc2,40,70
fc2,41,20
fc2,42,32
fc2,43,72
fc2,44,0
fc2,45,0
fc2,46,0
fc2,47,23
fc2,48,0
fc2,49,0
fc2,50,0
fc2,51,0
fc2,52,0
fc2,53,0
fc2,54,0
fc2,55,0
fc2,56,199
fc2,57,0
fc2,58,407
fc2,59,0
fc2,60,0
fc2,61,0
fc2,62,140
fc2,63,0
fc2,64,13
fc2,65,22
fc2,66,256
fc2,67,2
fc2,68,0
fc2,69,0
fc2,70,44
fc2,71,28
fc2,72,4
fc2,73,0
fc2,74,0
fc2,75,1303
fc2,76,0
fc2,77,3
fc2,78,5
fc2,79,428
fc2,80,24
fc2,81,0
fc2,82,55
fc2,83,160
