LayerName,NeuronIndex,Score
conv1,0,110330
conv1,1,57408
conv1,2,109215
conv1,3,153137
conv1,4,38911
conv1,5,105970
conv2,0,0
conv2,1,82301
conv2,2,33611
conv2,3,2847
conv2,4,51875
conv2,5,0
conv2,6,0
conv2,7,64375
conv2,8,41692
conv2,9,24530
conv2,10,5910
conv2,11,16103
conv2,12,16841
conv2,13,3736
conv2,14,0
conv2,15,0
fc1,0,0
fc1,1,288
fc1,2,20158
fc1,3,849
fc1,4,2555
fc1,5,2547
fc1,6,80
fc1,7,2757
fc1,8,842
fc1,9,10466
fc1,10,13
fc1,11,24925
fc1,12,8887
fc1,13,1604
fc1,14,202
fc1,15,0
fc1,16,24751
fc1,17,512
fc1,18,0
fc1,19,9110
fc1,20,239
fc1,21,0
fc1,22,611
fc1,23,0
fc1,24,0
fc1,25,4125
fc1,26,1518
fc1,27,0
fc1,28,0
fc1,29,4903
fc1,30,8109
fc1,31,4381
fc1,32,0
fc1,33,0
fc1,34,7
fc1,35,0
fc1,36,2842
fc1,37,4427
fc1,38,0
fc1,39,1405
fc1,40,1088
fc1,41,21141
fc1,42,1009
fc1,43,2336
fc1,44,6970
fc1,45,7695
fc1,46,36
fc1,47,5559
fc1,48,6926
fc1,49,789
fc1,50,0
fc1,51,0
fc1,52,1533
fc1,53,797
fc1,54,6714
fc1,55,44
fc1,56,5219
fc1,57,1653
fc1,58,34
fc1,59,46
fc1,60,3454
fc1,61,0
fc1,62,0
fc1,63,166
fc1,64,0
fc1,65,91
fc1,66,498
fc1,67,6653
fc1,68,3588
fc1,69,595
fc1,70,0
fc1,71,0
fc1,72,0
fc1,73,0
fc1,74,0
fc1,75,3318
fc1,76,12669
fc1,77,0
fc1,78,0
fc1,79,0
fc1,80,0
fc1,81,20419
fc1,82,0
fc1,83,0
fc1,84,1999
fc1,85,0
fc1,86,8761
fc1,87,0
fc1,88,17770
fc1,89,3298
fc1,90,12149
fc1,91,1959
fc1,92,12553
fc1,93,2344
fc1,94,338
fc1,95,21218
fc1,96,577
fc1,97,3001
fc1,98,0
fc1,99,0
fc1,100,1125
fc1,101,5428
fc1,102,19725
fc1,103,300
fc1,104,0
fc1,105,4309
fc1,106,5
fc1,107,800
fc1,108,6976
fc1,109,11910
fc1,110,0
fc1,111,0
fc1,112,0
fc1,113,13811
fc1,114,1719
fc1,115,226
fc1,116,0
fc1,117,2090
fc1,118,3223
fc1,119,6591
fc2,0,13
fc2,1,4
fc2,2,3
fc2,3,0
fc2,4,4643
fc2,5,31424
fc2,6,0
fc2,7,0
fc2,8,27070
fc2,9,1
fc2,10,11
fc2,11,14
fc2,12,0
fc2,13,0
fc2,14,4
fc2,15,205
fc2,16,0
fc2,17,11157
fc2,18,34
fc2,19,1
fc2,20,1
fc2,21,32004
fc2,22,1585
fc2,23,299
fc2,24,0
fc2,25,3902
fc2,26,0
fc2,27,0
fc2,28,8861
fc2,29,652
fc2,30,535
fc2,31,6137
fc2,32,612
fc2,33,8
fc2,34,0
fc2,35,80
fc2,36,7673
fc2,37,203
fc2,38,190
fc2,39,27
fc2,40,2219
fc2,41,1953
fc2,42,11548
fc2,43,7345
fc2,44,0
fc2,45,0
fc2,46,0
fc2,47,4804
fc2,48,0
fc2,49,0
fc2,50,0
fc2,51,0
fc2,52,0
fc2,53,0
fc2,54,0
fc2,55,0
fc2,56,5039
fc2,57,0
fc2,58,28
fc2,59,0
fc2,60,7
fc2,61,0
fc2,62,28813
fc2,63,0
fc2,64,1746
fc2,65,0
fc2,66,25945
fc2,67,1224
fc2,68,1013
fc2,69,0
fc2,70,0
fc2,71,6705
fc2,72,1290
fc2,73,0
fc2,74,201
fc2,75,27722
fc2,76,0
fc2,77,0
fc2,78,3194
fc2,79,14712
fc2,80,17301
fc2,81,0
fc2,82,26
fc2,83,562
